time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/26/23:48:28.933534,3,1645937308,933206081,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760921537876,0.200888678432,-0.0371228270233,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684552267194,0.365523636341,-0.211477041245
2022/02/26/23:48:29.000918,4,1645937309,721931,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760921537876,0.200888678432,-0.0371228270233,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684542804956,0.365523666143,-0.211476951838
2022/02/26/23:48:29.071410,5,1645937309,71094989,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760921537876,0.200888678432,-0.0371228270233,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684542804956,0.365523666143,-0.211476951838
2022/02/26/23:48:29.139542,6,1645937309,139348030,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760921537876,0.200888678432,-0.0371228270233,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684542804956,0.365523666143,-0.211476951838
2022/02/26/23:48:29.211785,7,1645937309,211569070,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760921537876,0.200888678432,-0.0371228270233,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684542804956,0.365523666143,-0.211476951838
2022/02/26/23:48:29.284430,8,1645937309,284223079,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.068455003202,0.365525573492,-0.211474180222
2022/02/26/23:48:29.353105,9,1645937309,352956056,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.068455003202,0.365525573492,-0.211474180222
2022/02/26/23:48:29.425163,10,1645937309,424890995,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.068455003202,0.365525573492,-0.211474180222
2022/02/26/23:48:29.500281,11,1645937309,499865055,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684527605772,0.365525573492,-0.211474046111
2022/02/26/23:48:29.581352,12,1645937309,581056118,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684527605772,0.365525573492,-0.211474046111
2022/02/26/23:48:29.650898,13,1645937309,650527954,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684518143535,0.365525603294,-0.211473956704
2022/02/26/23:48:29.724370,14,1645937309,724030971,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684518963099,0.36552721262,-0.211472406983
2022/02/26/23:48:29.801509,15,1645937309,801337957,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760928839445,0.20089058578,-0.0371200591326,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684518963099,0.36552721262,-0.211472406983
2022/02/26/23:48:29.873350,16,1645937309,873014926,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,-0.0760921537876,0.200888678432,-0.0371228270233,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,-0.0684511736035,0.365525305271,-0.211475178599
